Subject,Title,Authors,Year,Citation_Count,Cited_By,Research_Method,DOI
Computer Science,Epilogue,Subrata Dasgupta,2016,0,Unavailable,Unknown Method,10.1093/actrade/9780198733461.003.0008
Computer Science,Enhancing Focus Topic Findings of Discussion Forum through Corpus Classifier Algorithm,Reina Setiawan,2019,0,Unavailable,Experiment,10.35940/ijrte.b2166.078219
Computer Science,Computer Science and Engineering,Widodo Budiharto,2019,0,Unavailable,Unknown Method,10.26693/cse
Computer Science,Integrating Computer Ethics into the Computer Science Curriculum,Keith Miller,1988,33,Unavailable,Unknown Method,10.1080/0899340880010104
Computer Science,Computer Science and Applied Mathematics,Iman Herwidiana Kartowisastro,1988,0,Unavailable,Unknown Method,10.26661/2786-6254
Computer Science,Instructional Methods to Computer Science Education as Investigated by Computer Science Teachers,Andreas Zendler,2015,10,Unavailable,Unknown Method,10.3844/jcssp.2015.915.927
Computer Science,European association for theoretical computer science,Dieter Klaudt,1993,0,Unavailable,Theoretical,10.1016/0304-3975(93)90204-7
Computer Science,Computer Science and Applied Mathematics,Kartowisastro,1993,0,Unavailable,Unknown Method,10.26661/2413-6549
Computer Science,European Association for Theoretical Computer Science,Harjanto Prabowo,1993,0,Unavailable,Theoretical,10.1016/0304-3975(93)90177-u
Computer Science,A conference on theoretical computer science,Harjanto Prabowo,1976,0,Unavailable,Theoretical,10.1016/0304-3975(76)90069-4
Computer Science,6th GI conference on theoretical computer science,Jimeng Li,1982,0,Unavailable,Theoretical,10.1016/0304-3975(82)90093-7
Computer Science,Introducing article numbering to Computer Science Review,Jimeng Li,2019,0,Unavailable,Unknown Method,10.1016/s1574-0137(19)30321-1
Computer Science,The european association for theoretical computer science—(EATCS),,1979,0,Unavailable,Theoretical,10.1016/0304-3975(79)90021-5
Computer Science,Theoretical Computer Science in Italy,"Stefano Bistarelli, Andrea Formisano",2016,0,Unavailable,Theoretical,10.1016/j.tcs.2016.04.010
Computer Science,Fiftieth volume of theoretical computer science,Maurice Nivat,1988,0,Unavailable,Theoretical,10.1016/0304-3975(88)90001-1
Computer Science,Unplugging computer science,,2013,0,Unavailable,Unknown Method,10.4324/9780203078723-15
Computer Science,The European Association for Theoretical Computer Science—(EATCS),,1979,1,Unavailable,Theoretical,10.1016/0304-3975(79)90050-1
Computer Science,The european association for theoretical computer science—(EATCS),,1978,1,Unavailable,Theoretical,10.1016/0304-3975(78)90013-0
Computer Science,Mojular – Modular Solutions," , Angelo Z. Torres, Mark Patrick H. Bernas,  , Marc Joseph Yui G. Aranilla,  , Jenny Lyn V. Abamo,  ",2017,0,Unavailable,Unknown Method,10.23956/ijarcsse/v7i4/01412
Computer Science,Computer Science Principles," , Seth Bergmann",2020,0,Unavailable,Unknown Method,10.31986/issn.2689-0690_rdw.oer.1018
Computer Science,Logic for computer science,Ursula Martin,1988,0,Unavailable,Unknown Method,10.1016/0167-6423(88)90006-8
Computer Science,The european association for theoretical computer science—(EATCS),,1979,0,Unavailable,Theoretical,10.1016/0304-3975(79)90060-4
Computer Science,11th international symposium on mathematical foundations of computer science,,1982,0,Unavailable,Unknown Method,10.1016/0304-3975(82)90008-1
Computer Science,From Logic to Theoretical Computer Science – An Update,Boris A. Trakhtenbrot,1982,2,Unavailable,Theoretical,10.1007/978-3-540-78127-1_1
Computer Science,Computer science: A mathematical introduction,T. Denvir,1987,0,Unavailable,Unknown Method,10.1016/0167-6423(87)90012-8
Computer Science,Scaling High School Computer Science,"Owen Astrachan, Ralph Morelli, Gail Chapman, Jeff Gray",2015,1,Unavailable,Unknown Method,10.1145/2676723.2677322
Computer Science,Computer Science Education,Raymond Lister,2008,1,Unavailable,Unknown Method,10.1080/08993400802172449
Computer Science,The european association for theoretical computer science—(EATCS),,1978,0,Unavailable,Theoretical,10.1016/0304-3975(78)90044-0
Computer Science,From constructivism to computer science,A.S. Troelstra,1999,10,Unavailable,Unknown Method,10.1016/s0304-3975(97)00172-2
Computer Science,What is Computer Science? The two crises of computer science.,Camille Akmut,2019,0,Unavailable,Unknown Method,10.31219/osf.io/6nvwe
Computer Science,All Advanced Placement (AP) Computer Science is Not Created Equal: A Comparison of AP Computer Science A and Computer Science Principles,"Douglas D. Havard, Keith E. Howard",2019,1,Unavailable,Unknown Method,10.26716/jcsi.2019.02.1.2
Computer Science,Decentralized Incognito Limpid E-Voting System," , Dr. Yojna Arora, Mr. Vivek Birla,  , Mr. Rajat Gupta,  , Mr. Samarth Tiku,  ",2021,0,Unavailable,Unknown Method,10.21276/ijircst.2021.9.2.14
Computer Science,2nd Symposium on theoretical aspects of computer science,,1984,0,Unavailable,Theoretical,10.1016/0304-3975(84)90096-3
Computer Science,Computer Science Education – Call for Papers,,2018,0,Unavailable,Unknown Method,10.1080/08993408.2018.1488375
Computer Science,Introductory chapter: Game Development and Computer Science,"Branislav Sobota, Emília Pietriková",2023,0,Unavailable,Unknown Method,10.5772/intechopen.1002301
Computer Science,Tsabit Journal of Computer Science,,2023,0,Unavailable,Unknown Method,10.56211/tsabit
Computer Science,Problem Solving Archetype - Computer Science,"Douglas Lecorchick, Scott Nichols, Lauren Tabor",2020,0,Unavailable,Unknown Method,10.1016/j.procs.2020.05.085
Computer Science,"Games, computer science, and education",Peter Drake,2013,1,Unavailable,Unknown Method,10.1080/08993408.2013.776841
Computer Science,Third annual symposium on logic in computer science,,1987,0,Unavailable,Unknown Method,10.1016/0304-3975(87)90086-7
Computer Science,The Italian Conference on Theoretical Computer Science,"Alessandro Aldini, Marco Bernardo",2020,0,Unavailable,Theoretical,10.1016/j.tcs.2020.03.003
Computer Science,Computer Science Principles with C++," , Seth Bergmann",2021,0,Unavailable,Unknown Method,10.31986/issn.2689-0690_rdw.oer.1025
Computer Science,No Title,,2022,0,Unavailable,Unknown Method,10.26661/2786-6254-2022-2
Computer Science,Advances in Computer Science,,2021,0,Unavailable,Unknown Method,10.22271/ed.book.1406
Computer Science,Accessible Images in Computer Science Journals,"Bruno Splendiani, Mireia Ribera",2014,7,Unavailable,Unknown Method,10.1016/j.procs.2014.02.003
Computer Science,Theoretical Computer Science in Italy,"Alessandra Cherubini, Nicoletta Sabadini, Simone Tini",2021,0,Unavailable,Theoretical,10.1016/j.tcs.2021.03.018
Computer Science,Enterprise Architecture Functions for Villages in Indonesia: a Perspective on Indonesia’s Village Law," , Endi Putro*, Benny Ranti,  , Agung Trisetyarso,  , Spits Warnars Harco Leslie Hendric,  , Yaya Heryadi,  , Ford Lumban Gaol,  ",2019,0,Unavailable,Unknown Method,10.35940/ijrte.c3879.098319
Computer Science,No Title,,2023,0,Unavailable,Unknown Method,10.26661/2786-6254-2023-1
Computer Science,Probability Voting-based Ensemble of Convolutional Neural nets Classifiers for Image Classification," ,  Sarwo*, Yaya Heryadi,  , Widodo Budiharto,  , Edi Abdurachman,  ",2019,0,Unavailable,Experiment,10.35940/ijrte.c3876.098319
Computer Science,Rasiowa–Sikorski deduction systems in computer science applications,Beata Konikowska,2002,20,Unavailable,Unknown Method,10.1016/s0304-3975(01)00320-6
Computer Science,Game Theory Meets Theoretical Computer Science,"Samson Abramsky, Marios Mavronicolas",2005,3,Unavailable,Theoretical,10.1016/j.tcs.2005.05.004
Computer Science,Creative Computer Science Teaching Techniques,Regina Baron Brunner,1991,1,Unavailable,Unknown Method,10.1080/0899340910020301
Computer Science,Epistemic practices in conceptions of computer science,"Josh Tenenberg, Donald Chinn",2024,0,Unavailable,Unknown Method,10.1080/08993408.2024.2381398
Computer Science,One-Stage Logo Detection Framework using AdaBoost Resnet50 Backbone," ,  Sarwo*, Yaya Heryadi,  , Widodo Budiharto,  , Edi Abdurachman,  ",2019,0,Unavailable,Experiment,10.35940/ijrte.c4222.098319
Computer Science,INDEX to SOCIAL SCIENCE COMPUTER REVIEW,,2004,0,Unavailable,Unknown Method,10.1177/089443930402200413
Computer Science,The Riemann Hypothesis in computer science,Yu. Matiyasevich,2020,1,Unavailable,Unknown Method,10.1016/j.tcs.2019.07.028
Computer Science,From Computer Science to Biology and Back,"Emanuela Merelli, Ion Petre",2015,0,Unavailable,Unknown Method,10.1016/j.tcs.2015.11.009
Computer Science,Index to Social Science Computer Review,,2000,0,Unavailable,Unknown Method,10.1177/089443930001800414
Computer Science,MIT hosts program on computer cryptography,,1979,0,Unavailable,Unknown Method,10.1016/0304-3975(79)90013-6
Computer Science,Relating Theory to Actual Results in Computer Science and Human-Computer Interaction,Craig S. Miller,2003,9,Unavailable,Unknown Method,10.1076/csed.13.3.227.14944
Computer Science,Journal of Computer Science Advancements,,2003,0,Unavailable,Unknown Method,10.55849/jcsa
Computer Science,OFC,,2014,0,Unavailable,Unknown Method,10.1016/s1877-0509(14)01385-4
Computer Science,Contents,  ,2021,0,Unavailable,Unknown Method,10.1016/j.procs.2021.05.045
Computer Science,Contents,,2013,0,Unavailable,Unknown Method,10.1016/s1877-0509(13)01289-1
Computer Science,Editorial–Science of Computer Programming–25 years,Manfred Broy,2007,0,Unavailable,Unknown Method,10.1016/j.scico.2007.01.001
Computer Science,Online Computer Science Education in Australasia,M. Bower,2007,0,Unavailable,Unknown Method,10.1080/08993400701538146
Computer Science,Eight international symposium on mathematical foundations of computer science - MFCS 79,,1978,0,Unavailable,Unknown Method,10.1016/0304-3975(78)90023-3
Computer Science,A quantum jump in computer science,Gilles Brassard,1995,10,Unavailable,Unknown Method,10.1007/bfb0015233
Computer Science,Fourth conference on foundations of software technology and theoretical computer science,,1984,0,Unavailable,Theoretical,10.1016/0304-3975(84)90136-1
Computer Science,No Title,,2022,0,Unavailable,Unknown Method,10.26661/2413-6549-2022-1
Computer Science,Contents,,2012,0,Unavailable,Unknown Method,10.1016/s1877-0509(12)00605-9
Computer Science,Preface,,2013,0,Unavailable,Unknown Method,10.1016/j.procs.2013.09.074
Computer Science,Contents,,2016,0,Unavailable,Unknown Method,10.1016/s1877-0509(16)32280-3
Computer Science,European Journal of Computer Science,,2016,0,Unavailable,Unknown Method,10.13187/issn.2412-2033
Computer Science,Philosophy of Computer Science,Raymond Turner,2019,3,Unavailable,Unknown Method,10.1093/obo/9780195396577-0224
Computer Science,Preface,,2019,0,Unavailable,Unknown Method,10.1016/j.procs.2019.12.078
Computer Science,Corrigendum,,1986,3,Unavailable,Unknown Method,10.1016/0304-3975(86)90159-3
Computer Science,Teaching Data Communications to Computer Science Students,Larry Hughes,1990,1,Unavailable,Unknown Method,10.1080/0899340900010305
Computer Science,3rd Conference on foundations of software technology and theoretical computer science,,1982,1,Unavailable,Theoretical,10.1016/0167-6423(83)90019-9
Computer Science,Situated Learning in Computer Science Education,Mordechai Ben-Ari,2004,39,Unavailable,Unknown Method,10.1080/08993400412331363823
Computer Science,Formalism in AI and computer science,Grant Malcolm,1991,0,Unavailable,Unknown Method,10.1016/0167-6423(91)90052-y
Computer Science,Empowering computer science scholarship: the role of Computer Science and Engineering Research,Md. Haidar Sharif,2024,0,Unavailable,Unknown Method,10.69517/cser.2024.01.01.0001
Computer Science,Interactions between Computer Science and Biology,"Paola Giannini, Emanuela Merelli, Angelo Troina",2015,1,Unavailable,Unknown Method,10.1016/j.tcs.2015.05.024
Computer Science,"Mathematics, Computer Science, Software Engineering",Dick Hamlet,2001,0,Unavailable,Unknown Method,10.1016/s1571-0661(05)80044-1
Computer Science,Index to Social Science Computer Review,,2001,0,Unavailable,Unknown Method,10.1177/089443930101900410
Computer Science,Index to Social Science Computer Review,,1999,0,Unavailable,Unknown Method,10.1177/089443939901700417
Computer Science,Index to Social Science Computer Review,,2002,0,Unavailable,Unknown Method,10.1177/089443930202000413
Computer Science,Preface,,2019,0,Unavailable,Unknown Method,10.1016/j.procs.2019.08.130
Computer Science,Contents,,2016,0,Unavailable,Unknown Method,10.1016/s1877-0509(16)32265-7
Computer Science,Proceeding,,2019,0,Unavailable,Unknown Method,10.1016/j.procs.2019.08.005
Computer Science,Preface,,2020,1,Unavailable,Unknown Method,10.1016/j.procs.2020.03.175
Computer Science,Proceeding,,2018,0,Unavailable,Unknown Method,10.1016/j.procs.2018.07.159
Computer Science,Preface,,2017,0,Unavailable,Unknown Method,10.1016/j.procs.2017.09.069
Computer Science,Contents,,2015,1,Unavailable,Unknown Method,10.1016/s1877-0509(15)00231-8
Computer Science,Contents,,2022,0,Unavailable,Unknown Method,10.1016/s1877-0509(22)01563-0
Computer Science,Preface,,2015,0,Unavailable,Unknown Method,10.1016/j.procs.2015.08.455
Computer Science,Corrigendum,,1985,2,Unavailable,Unknown Method,10.1016/0304-3975(85)90150-1
Computer Science,2nd international workshop on graph grammars and their applications to computer science,,1982,0,Unavailable,Unknown Method,10.1016/0304-3975(82)90094-9
Computer Science,4th conference on foundations of software technology &amp; theoretical computer science,,1984,0,Unavailable,Theoretical,10.1016/0167-6423(84)90021-2
Computer Science,CMU Computer science—a 25th anniversary commemorative,Friedrich L. Bauer,1992,0,Unavailable,Unknown Method,10.1016/0167-6423(92)90023-5
Computer Science,Creating a design science of Human-Computer Interaction,John M. Carroll,1992,1,Unavailable,Unknown Method,10.1007/3-540-56320-2_60
Social Science,Popular Science and Social Science,James D. Wright,2017,0,Unavailable,Unknown Method,10.4324/9781315129716-4
Social Science,Social Networks and Social Science History,Susan Cotts Watkins,1995,6,Unavailable,Unknown Method,10.2307/1171488
Social Science,"Social sciences, social transformations and social policies international forum on the social science-policy nexus",,2005,1,Unavailable,Unknown Method,10.1016/j.socscimed.2005.04.017
Social Science,Social Science as Science,,2012,0,Unavailable,Unknown Method,10.4324/9780203047842-8
Social Science,Social Anthropology and Social Science History,D. I. Kertzer,2009,2,Unavailable,Unknown Method,10.1215/01455532-2008-013
Social Science,Against Science in Social Science,,2012,0,Unavailable,Unknown Method,10.4324/9780203047842-10
Social Science,Social Anthropology and Social Science History,David I. Kertzer,2009,12,Unavailable,Theoretical,10.1017/s0145553200010889
Social Science,Social Networks and Social Science History,Susan Cotts Watkins,1995,3,Unavailable,Unknown Method,10.1017/s0145553200017387
Social Science,Applied History and Social Science,Peter N. Stearns,1982,2,Unavailable,Unknown Method,10.2307/1171106
Social Science,Lessons of Social Science History,Eric H. Monkkonen,1994,1,Unavailable,Unknown Method,10.2307/1171264
Social Science,Philosophy of Science and Social Work,Martin Bloom,2013,0,Unavailable,Theoretical,10.1093/obo/9780195389678-0100
Social Science,Social science and social change,Robert Coles,1969,0,Unavailable,Unknown Method,10.1016/0037-7856(69)90046-8
Social Science,New Science and New Social Science,,2012,0,Unavailable,Unknown Method,10.4324/9780203047842-12
Social Science,6. Social science and disenchantment,,1991,1,Unavailable,Unknown Method,10.3138/9781487583927-008
Social Science,Social Science in Review,James D. Wright,2017,0,Unavailable,Unknown Method,10.4324/9781315129716-11
Social Science,Should the National Science Foundation Consider Social Work a Social Science?,,1993,0,Unavailable,Unknown Method,10.1093/sw/38.4.502
Social Science,Gender in/and Social Science History,Barbara Laslett,1992,2,Unavailable,Unknown Method,10.2307/1171287
Social Science,Social science without social scientists : A future trend ?,Jeremy Mitchell,1973,1,Unavailable,Unknown Method,10.1177/053901847301200110
Social Science,"Drugs, sex and social science: Social science research and health policy in Australia",Lenore Manderson,1994,5,Unavailable,Unknown Method,10.1016/0277-9536(94)90359-x
Social Science,"Special Issue of Contemporary Social Science<b>Alcohol, Public Policy, and Social Science</b>",,2011,0,Unavailable,Unknown Method,10.1080/21582041.2012.626734
Social Science,Methodological advances in quantitative social science: In celebration of the Social Science Research 50th anniversary,"Weihua An, Shawn Bauldry",2023,2,Unavailable,Quantitative,10.1016/j.ssresearch.2022.102843
Social Science,Forthcoming in Social Science History,,1988,0,Unavailable,Unknown Method,10.1017/s0145553200016047
Social Science,Conclusion: The Science of Social Science,,2012,0,Unavailable,Unknown Method,10.4324/9780203047842-13
Social Science,Social Science Research Publication Through the Lens of Social Responsibility,Maria Caridad Tarroja,2024,0,Unavailable,Unknown Method,10.59588/2350-8329.1531
Social Science,Social Science History Volume 5,,1981,0,Unavailable,Unknown Method,10.1017/s0145553200019350
Social Science,Social Science Computer Review,,1987,0,Unavailable,Unknown Method,10.1177/089443938700500420
Social Science,Bureaucratic Development and Social Science History,Don Karl Rowney,1978,0,Unavailable,Unknown Method,10.2307/1171153
Social Science,"The Agenda for ""Social Science History""",J. Morgan Kousser,1977,1,Unavailable,Unknown Method,10.2307/1170871
Social Science,Organized Social Science Research in Great Britain,A.B. Cherns,1963,0,Unavailable,Unknown Method,10.1177/053901846300200105
Social Science,Should the National Science Foundation Consider Social Work a Social Science?: Reply,,1993,0,Unavailable,Unknown Method,10.1093/sw/38.4.502-a
Social Science,Madani : Journal of Social Sciences and Social Science Education,,1993,0,Unavailable,Unknown Method,10.55210/madani
Social Science,"Introduction : Objectivity, Science and Social Science",,1993,0,Unavailable,Unknown Method,10.5040/9781472545787.0004
Social Science,Social Science and Medecine,,1966,0,Unavailable,Unknown Method,10.1177/053901846600500406
Social Science,People's History and Social Science History,Louise A. Tilly,1983,1,Unavailable,Unknown Method,10.2307/1171067
Social Science,Science and Social Science,Gordon D. Shipman,1931,1,Unavailable,Unknown Method,10.2307/3006113
Social Science,Cold War Social Science,Mark Solovey,1931,0,Unavailable,Unknown Method,10.1057/9781137013224.0005
Social Science,Social Science History Association Annual Meeting,,1988,0,Unavailable,Unknown Method,10.1017/s0145553200016205
Social Science,Early American Historiography and Social Science History,Daniel Scott Smith,1982,1,Unavailable,Unknown Method,10.2307/1171177
Social Science,Themed Issue of<i>Contemporary Social Science</i><i>Social Death</i>,,2015,2,Unavailable,Unknown Method,10.1080/21582041.2015.1006806
Social Science,Big Social Science History,R. H. Steckel,2007,5,Unavailable,Unknown Method,10.1215/01455532-2006-012
Social Science,Forthcoming special issues of social science and medicine,,1983,0,Unavailable,Unknown Method,10.1016/0277-9536(83)90366-0
Social Science,Index to Social Science History Volume 7,,1983,0,Unavailable,Unknown Method,10.1017/s0145553200019908
Social Science,Big Social Science History,Richard H. Steckel,2007,10,Unavailable,Unknown Method,10.1017/s0145553200013638
Social Science,"Social Science, Nursing, Social Work (1938 – 1951)",David Clark,2018,0,Unavailable,Unknown Method,10.1093/oso/9780190637934.003.0003
Social Science,Special Issue of<i>Contemporary Social Science</i><i>The self in contemporary social science</i>,Charalambos Tsekeris,2014,0,Unavailable,Unknown Method,10.1080/21582041.2013.876715
Social Science,Whatever happened to the ‘social’ science in Social Science &amp; Medicine? On golden anniversaries and gold standards,Kirsten Bell,2018,1,Unavailable,Unknown Method,10.1016/j.socscimed.2018.04.009
Social Science,"""Social Science History:"" Citation Record, 1976-1985",Aage R. Clausen,1988,2,Unavailable,Unknown Method,10.2307/1171350
Social Science,Introducing article numbering to Social Science and Medicine,,2019,0,Unavailable,Unknown Method,10.1016/j.socscimed.2019.112394
Social Science,Changing Social Science to Serve Human Welfare,Duncan MacRae,1979,1,Unavailable,Unknown Method,10.2307/1170963
Social Science,The Use and Abuse of Social Science,Martin Bulmer,2021,1,Unavailable,Unknown Method,10.4324/9781003246299-17
Social Science,Transdisciplinary Science,Sarah Gehlert,2011,0,Unavailable,Unknown Method,10.1093/obo/9780195389678-0027
Social Science,Merging Social Work Science and Computer Science for Social Good,,2018,0,Unavailable,Unknown Method,10.1017/9781108669016.002
Social Science,The Conduct of Inquiry in Social Science History,William H. Flanigan,1984,0,Unavailable,Unknown Method,10.2307/1171095
Social Science,"Alcohol, Public Policy, and Social Science",,2012,0,Unavailable,Unknown Method,10.1080/21582041.2012.673416
Social Science,The Latin American Social Science Council,,1966,0,Unavailable,Unknown Method,10.1177/053901846600500412
Social Science,Forthcoming special issues of social science &amp; medicine,,1983,0,Unavailable,Unknown Method,10.1016/0277-9536(83)90217-4
Social Science,Preface to a quantum social science,,2015,0,Unavailable,Unknown Method,10.1017/cbo9781316005163.001
Social Science,INTERNATIONAL SOCIAL L SCIENCE COUNCIL (ISSC) Standing Committee on Social Science Data,,1972,0,Unavailable,Unknown Method,10.1177/053901847201100607
Social Science,"Theory, Method, and Social Reproduction in Social Science History: A Short Jeremiad",Charles Wetherell,1999,3,Unavailable,Unknown Method,10.1017/s0145553200021842
Social Science,Econophysics: statistical physics and social science,,2013,0,Unavailable,Unknown Method,10.1017/cbo9781139003261.005
Social Science,Talking Social Work Science,Ian Shaw,2016,0,Unavailable,Unknown Method,10.7312/columbia/9780231166409.003.0001
Social Science,The Science of Science,,2014,0,Unavailable,Unknown Method,10.4324/9781315763446-11
Social Science,Note on collaboration between national social science councils and analogous bodies within the International Social Science Council,,1974,0,Unavailable,Unknown Method,10.1177/053901847401300413
Social Science,International Social Science Council (ISSC) Standing Committee on Social Science Data Archives,,1969,0,Unavailable,Unknown Method,10.1177/053901846900800208
