Author Name,Title,Year,Cited By,Subject of Study,Research Method
Noam Chomsky,Aspects of the Theory of Syntax,2014,50425,Language,Unknown Method
Noam Chomsky,The minimalist program,2014,33682,"Language, Sciences",Theoretical
Noam Chomsky,Syntactic structures,2002,32700,Language,Unknown Method
Noam Chomsky,Lectures on government and binding: The Pisa lectures,1993,29778,Unknown Subject,Unknown Method
Noam Chomsky,The sound pattern of English,1968,20534,Unknown Subject,Unknown Method
Noam Chomsky,"Knowledge of language: Its nature, origin, and use",1986,17916,Language,Unknown Method
Noam Chomsky,Biological foundations of language,1967,16739,Language,Unknown Method
Noam Chomsky,Manufacturing consent,2021,15578,Unknown Subject,Unknown Method
Noam Chomsky,Derivation by phase,1999,13149,Unknown Subject,Unknown Method
Noam Chomsky,Language and mind,2006,13074,Language,Theoretical
Noam Chomsky,Minimalist inquiries: The framework (MITOPL 15),2000,12515,Unknown Subject,Unknown Method
Noam Chomsky,Barriers,1986,11047,Unknown Subject,Unknown Method
Noam Chomsky,A review of BF Skinner’s Verbal Behavior,1980,9094,"Literature, Language",Unknown Method
Noam Chomsky,Rules and representations,1980,8639,Unknown Subject,Unknown Method
Noam Chomsky,Remarks on nominalization,1970,8033,Language,Unknown Method
Noam Chomsky,"The faculty of language: what is it, who has it, and how did it evolve?",2002,7725,Language,Unknown Method
Noam Chomsky,Reflections on language,1976,7380,Language,Unknown Method
Noam Chomsky,Three models for the description of language,1956,5102,Language,Unknown Method
Noam Chomsky,On phases,2008,5032,Unknown Subject,Unknown Method
Noam Chomsky,Some concepts and consequences of the theory of government and binding,1982,4640,Language,Unknown Method
Noam Chomsky,Beyond explanatory adequacy,2004,4562,Unknown Subject,Unknown Method
Noam Chomsky,Current issues in linguistic theory,2011,4432,Language,Theoretical
Noam Chomsky,Language and problems of knowledge: The Managua lectures,1987,4273,Language,Unknown Method
Noam Chomsky,Conditions on transformations,1973,4234,Unknown Subject,Unknown Method
Noam Chomsky,On wh-movement,1977,4200,Unknown Subject,Unknown Method
Noam Chomsky,Cartesian linguistics: A chapter in the history of rationalist thought,2009,4137,Language,Unknown Method
Noam Chomsky,New Horizons in the Study of Language and Mind,2000,4056,"Language, Sciences",Unknown Method
Noam Chomsky,The logical structure of linguistic theory,1975,3401,Unknown Subject,Unknown Method
Noam Chomsky,Three factors in language design,2005,3383,Language,Unknown Method
Noam Chomsky,Profit over people: Neoliberalism and global order,1998,3047,Unknown Subject,Unknown Method
Noam Chomsky,Filters and control,1977,2848,Unknown Subject,Unknown Method
