Author Name,ORCID ID,Title,DOI,Year,Citations,Research Method
Deborah Lupton,http://orcid.org/0000-0003-2658-4430,Towards design sociology,10.1111/soc4.12546,2017,28,Unknown Method
Jan Váňa,http://orcid.org/0000-0002-7278-1833,Book Review: The Sociology of Literature,10.1177/17499755241242670,2024,0,Unknown Method
Francesco Vespasiano,http://orcid.org/0000-0003-3727-6257,For a Sociology of the Mediterranean,10.36004/nier.es.2024.1-02,2024,0,Unknown Method
Stewart Lockie,http://orcid.org/0000-0002-2109-6342,Mainstreaming climate change sociology,10.1080/23251042.2022.2043529,2022,8,Unknown Method
Gregor McLennan,http://orcid.org/0000-0002-0248-4497,Multiplex colonial sociology,10.1177/1468795x231221422,2024,0,Unknown Method
Richard Tutton,http://orcid.org/0000-0002-6946-6875,The Sociology of Futurelessness,10.1177/00380385221122420,2022,15,Unknown Method
John Hannigan,http://orcid.org/0000-0002-3996-3395,Environmental sociology,10.4324/9781003193777-2,2022,0,Unknown Method
Thiago Duarte Pimentel,http://orcid.org/0000-0003-1889-069X,A Critical Realist Model for Organizational Sociology,10.1177/08969205241257059,2024,0,Theoretical
Diana Graizbord,http://orcid.org/0000-0002-3923-239X,Toward an organic policy sociology,10.1111/soc4.12735,2019,16,Unknown Method
Peter Evans,http://orcid.org/0000-0001-5601-5656,Evolving Publics and the Practice of Public Sociology,10.1177/08969205241247234,2024,0,Unknown Method
Sari Hanafi,http://orcid.org/0000-0001-6953-6266,Toward a dialogical sociology: Presidential address – XX ISA World Congress of Sociology 2023,10.1177/02685809231199678,2023,1,Unknown Method
Myles Balfe,http://orcid.org/0000-0001-6081-6317,Making it in medical sociology,10.1177/07916035241239756,2024,0,Unknown Method
Victoria Reyes,http://orcid.org/0000-0002-1372-189X,For a Du Boisian economic sociology,10.1111/soc4.12975,2022,8,Unknown Method
Edward T. Walker,http://orcid.org/0000-0001-9633-4723,Organizational theory in political sociology,10.1111/soc4.12860,2021,2,Unknown Method
Eric Bonds,http://orcid.org/0000-0001-6690-6663,U.S. sociology and the Iraq War,10.1111/soc4.12513,2017,1,Unknown Method
